age,numberChildren,incomeRating,wealthRating,mailOrderPurchases,totalGivingAmount,numberGifts,smallestGiftAmount,largestGiftAmount,averageGiftAmount,yearsSinceFirstDonation,monthsSinceLastDonation,inHouseDonor,plannedGivingDonor,sweepstakesDonor,P3Donor,state,urbanicity,socioEconomicStatus,isHomeowner,gender,respondedMailing
71,NA,2,4,4,207.5,28,3,12,7.4107142857,11,11,TRUE,FALSE,FALSE,FALSE,TX,town,average,NA,female,FALSE
38,NA,5,9,1,57,5,10,15,11.4,3,12,FALSE,FALSE,FALSE,FALSE,KS,suburb,highest,NA,female,FALSE
NA,1,2,NA,0,45,3,5,20,15,2,17,FALSE,FALSE,FALSE,FALSE,IL,rural,average,TRUE,female,FALSE
38,3,2,NA,0,45,2,20,25,22.5,2,14,FALSE,FALSE,FALSE,FALSE,CA,suburb,average,TRUE,female,FALSE
81,NA,4,5,2,140,7,10,25,20,7,14,FALSE,FALSE,FALSE,FALSE,TN,city,average,TRUE,female,FALSE
50,NA,NA,NA,0,91,13,3,11,7,11,11,FALSE,FALSE,FALSE,FALSE,TX,town,lowest,NA,female,FALSE
67,NA,5,6,5,37,4,3,15,9.25,1,11,FALSE,FALSE,FALSE,FALSE,MO,suburb,average,TRUE,female,FALSE
NA,NA,NA,NA,0,20,1,20,20,20,1,15,FALSE,FALSE,FALSE,FALSE,CA,suburb,average,NA,female,FALSE
50,1,4,6,7,40,4,5,15,10,4,16,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,female,FALSE
48,1,5,7,5,111,10,5,14,11.1,8,11,FALSE,FALSE,FALSE,FALSE,IL,suburb,average,TRUE,male,FALSE
NA,NA,NA,NA,0,20,1,20,20,20,1,11,FALSE,FALSE,FALSE,FALSE,AR,town,average,NA,female,FALSE
44,NA,4,9,0,142,5,25,32,28.4,7,14,FALSE,FALSE,FALSE,FALSE,FL,city,highest,TRUE,female,FALSE
NA,2,6,NA,0,34,3,10,14,11.333333333,2,12,FALSE,FALSE,FALSE,FALSE,CA,rural,highest,TRUE,female,FALSE
56,NA,5,NA,0,89,11,3,12,8.0909090909,5,17,FALSE,FALSE,FALSE,FALSE,FL,suburb,average,TRUE,female,FALSE
42,NA,7,8,0,35,3,5,20,11.666666667,3,15,FALSE,FALSE,FALSE,FALSE,MI,suburb,average,TRUE,female,FALSE
74,NA,5,NA,0,38,4,5,15,9.5,2,14,FALSE,FALSE,FALSE,FALSE,AZ,city,highest,TRUE,female,FALSE
71,NA,NA,NA,0,113,19,3,12,5.9473684211,7,11,FALSE,FALSE,FALSE,FALSE,CA,urban,average,NA,male,TRUE
67,NA,5,1,0,30,2,10,20,15,2,14,FALSE,FALSE,FALSE,FALSE,AZ,city,lowest,TRUE,male,FALSE
30,NA,3,NA,0,200,22,5,15,9.0909090909,5,13,FALSE,FALSE,FALSE,FALSE,MI,suburb,average,TRUE,NA,FALSE
92,NA,2,2,29,113,27,2,10,4.1851851852,10,14,FALSE,FALSE,FALSE,FALSE,CA,city,highest,NA,female,FALSE
56,NA,7,9,10,218,15,10,20,14.533333333,8,13,FALSE,FALSE,FALSE,FALSE,MO,urban,highest,TRUE,female,FALSE
58,NA,NA,NA,0,99,10,3,17,9.9,8,14,FALSE,FALSE,FALSE,FALSE,NM,rural,average,NA,female,FALSE
NA,NA,2,NA,0,54,7,3,25,7.7142857143,6,12,FALSE,FALSE,FALSE,FALSE,CA,urban,average,NA,female,FALSE
67,NA,NA,NA,0,81,5,15,21,16.2,6,19,FALSE,FALSE,FALSE,FALSE,WA,suburb,average,NA,male,FALSE
44,1,6,9,1,125,13,5,13,9.6153846154,6,22,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,male,FALSE
82,NA,2,NA,0,92,16,3,10,5.75,8,12,FALSE,FALSE,FALSE,FALSE,WA,rural,average,NA,female,FALSE
56,NA,3,1,0,109,7,5,25,15.571428571,6,3,FALSE,FALSE,TRUE,FALSE,WA,rural,average,TRUE,female,FALSE
56,NA,3,1,8,126,10,5,29,12.6,6,21,FALSE,FALSE,FALSE,FALSE,CA,urban,average,NA,male,FALSE
78,NA,1,0,12,20,1,20,20,20,1,15,FALSE,FALSE,FALSE,FALSE,NE,rural,lowest,NA,female,FALSE
80,NA,5,7,18,69,5,10,17,13.8,5,22,FALSE,FALSE,FALSE,FALSE,MN,suburb,highest,TRUE,female,FALSE
64,NA,5,8,0,74,6,10,15,12.333333333,5,12,FALSE,FALSE,FALSE,FALSE,IN,town,average,TRUE,male,FALSE
87,NA,5,6,3,265,28,5,12,9.4642857143,9,17,FALSE,FALSE,FALSE,FALSE,CA,city,average,TRUE,female,FALSE
NA,NA,2,NA,0,20,1,20,20,20,1,11,FALSE,FALSE,FALSE,FALSE,AK,city,average,NA,female,FALSE
62,NA,4,4,1,30,3,5,15,10,3,16,FALSE,FALSE,FALSE,FALSE,CO,urban,average,TRUE,female,FALSE
54,NA,6,9,7,109,7,5,25,15.571428571,5,14,FALSE,FALSE,FALSE,FALSE,FL,town,highest,TRUE,male,FALSE
54,1,7,7,2,76,6,10,15,12.666666667,7,14,FALSE,FALSE,FALSE,FALSE,WI,rural,highest,TRUE,female,FALSE
40,NA,5,5,34,135.01,14,1.01,17,9.6435714286,9,22,FALSE,FALSE,FALSE,FALSE,GA,town,average,TRUE,male,TRUE
76,NA,2,6,5,83,20,2,5,4.15,11,12,FALSE,FALSE,FALSE,FALSE,IL,suburb,average,TRUE,female,FALSE
NA,NA,NA,NA,0,391,29,5,23,13.482758621,11,11,TRUE,FALSE,FALSE,FALSE,TX,rural,average,NA,female,FALSE
74,NA,2,NA,0,123,13,5,14,9.4615384615,10,15,FALSE,FALSE,FALSE,FALSE,CA,city,lowest,TRUE,female,FALSE
NA,NA,3,7,0,15,1,15,15,15,1,16,FALSE,FALSE,FALSE,FALSE,AL,town,average,NA,male,FALSE
71,NA,5,2,16,25,1,25,25,25,1,17,TRUE,FALSE,FALSE,FALSE,OR,urban,average,NA,male,FALSE
60,NA,NA,NA,0,41,7,2,15,5.8571428571,7,22,FALSE,FALSE,FALSE,FALSE,TX,city,lowest,NA,NA,FALSE
86,NA,3,2,0,114,8,10,18,14.25,11,17,FALSE,FALSE,FALSE,FALSE,CA,rural,average,TRUE,female,FALSE
67,NA,4,7,37,45,4,10,13,11.25,2,11,FALSE,FALSE,FALSE,FALSE,MO,suburb,average,TRUE,female,TRUE
65,NA,NA,NA,0,51,4,5,20,12.75,5,17,FALSE,FALSE,FALSE,FALSE,LA,urban,average,NA,male,FALSE
36,2,6,9,7,20,1,20,20,20,1,13,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,male,FALSE
60,NA,5,5,1,175,13,5,25,13.461538462,5,13,TRUE,FALSE,FALSE,FALSE,FL,city,average,TRUE,female,FALSE
74,NA,2,3,6,51,8,4,8,6.375,2,12,FALSE,FALSE,FALSE,FALSE,NC,city,lowest,TRUE,female,FALSE
72,NA,1,5,3,74,7,5,15,10.571428571,3,14,TRUE,FALSE,FALSE,FALSE,CO,suburb,average,TRUE,male,FALSE
NA,NA,NA,NA,0,108,14,5,14,7.7142857143,11,5,FALSE,FALSE,TRUE,FALSE,SC,rural,average,NA,female,FALSE
41,NA,4,5,4,220,16,5,20,13.75,7,11,FALSE,FALSE,FALSE,FALSE,IL,city,average,TRUE,female,FALSE
NA,NA,NA,NA,0,61,4,10,19,15.25,3,11,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,NA,male,FALSE
NA,NA,NA,NA,0,43,5,5,11,8.6,5,12,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,NA,female,FALSE
68,NA,1,6,8,386,32,5,16,12.0625,10,14,FALSE,FALSE,FALSE,FALSE,AR,rural,average,NA,male,FALSE
76,NA,4,NA,0,153,11,5,25,13.909090909,10,20,FALSE,FALSE,FALSE,FALSE,AL,town,average,TRUE,male,FALSE
62,NA,2,1,18,95,8,5,20,11.875,11,14,FALSE,FALSE,FALSE,FALSE,IN,rural,average,NA,male,FALSE
39,NA,4,NA,0,41,4,5,15,10.25,5,15,FALSE,FALSE,FALSE,FALSE,CO,suburb,average,TRUE,female,FALSE
NA,NA,2,0,13,84,10,3,25,8.4,6,12,FALSE,FALSE,FALSE,FALSE,WY,city,average,TRUE,female,FALSE
50,NA,5,NA,0,74,11,3,11,6.7272727273,5,18,FALSE,FALSE,FALSE,FALSE,TX,rural,average,NA,female,FALSE
NA,NA,NA,NA,0,57,8,3,15,7.125,4,14,FALSE,FALSE,FALSE,FALSE,FL,city,average,NA,joint,FALSE
32,1,7,NA,0,40,2,20,20,20,2,20,FALSE,FALSE,FALSE,FALSE,MO,rural,average,TRUE,male,FALSE
47,NA,6,9,2,170,15,5,20,11.333333333,9,12,FALSE,FALSE,FALSE,FALSE,GA,suburb,highest,NA,female,FALSE
NA,NA,NA,NA,0,104,11,5,25,9.4545454545,7,14,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,NA,female,FALSE
NA,NA,NA,NA,0,31,4,5,10,7.75,2,11,FALSE,FALSE,FALSE,FALSE,MT,town,average,NA,male,FALSE
64,NA,3,5,2,92,6,5,25,15.333333333,3,17,FALSE,FALSE,FALSE,FALSE,MI,rural,average,TRUE,male,FALSE
55,NA,7,9,0,389,41,5,13,9.487804878,11,20,FALSE,FALSE,FALSE,FALSE,FL,town,highest,TRUE,male,FALSE
NA,NA,7,9,1,36,2,18,18,18,2,13,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,NA,male,FALSE
42,NA,4,NA,0,70,10,3,10,7,5,11,FALSE,FALSE,FALSE,FALSE,NV,suburb,lowest,TRUE,male,FALSE
44,1,4,6,5,60,5,10,15,12,3,11,FALSE,FALSE,FALSE,FALSE,NC,rural,average,TRUE,male,FALSE
63,NA,3,8,3,76,15,3,10,5.0666666667,9,13,FALSE,FALSE,FALSE,FALSE,MN,suburb,average,TRUE,male,FALSE
48,1,7,9,1,20,1,20,20,20,1,17,FALSE,FALSE,FALSE,FALSE,GA,town,highest,TRUE,male,FALSE
49,NA,6,7,0,297,27,5,20,11,11,2,TRUE,FALSE,FALSE,FALSE,CA,NA,NA,TRUE,male,FALSE
75,NA,4,8,15,65.25,15,1,7,4.35,10,17,FALSE,FALSE,FALSE,FALSE,AZ,suburb,highest,TRUE,male,TRUE
57,NA,7,9,33,105,8,3,25,13.125,10,11,FALSE,FALSE,FALSE,FALSE,TX,urban,highest,TRUE,male,FALSE
NA,NA,1,5,0,69,14,2,7,4.9285714286,11,14,FALSE,FALSE,FALSE,FALSE,AL,town,average,NA,female,FALSE
64,NA,NA,NA,0,125,15,5,15,8.3333333333,11,12,FALSE,FALSE,FALSE,FALSE,CA,urban,highest,NA,male,FALSE
NA,NA,NA,NA,0,26,2,10,16,13,1,11,FALSE,FALSE,FALSE,FALSE,TX,urban,highest,NA,male,FALSE
52,NA,5,5,1,57,7,5,11,8.1428571429,5,11,FALSE,FALSE,FALSE,FALSE,CA,urban,average,TRUE,female,FALSE
54,NA,5,9,0,84,5,10,20,16.8,8,18,FALSE,FALSE,FALSE,FALSE,CA,NA,NA,TRUE,male,FALSE
60,NA,5,NA,0,79,7,5,19,11.285714286,7,16,FALSE,FALSE,FALSE,FALSE,WA,suburb,average,TRUE,male,FALSE
42,NA,2,NA,0,52,5,5,20,10.4,6,14,FALSE,FALSE,FALSE,FALSE,WA,rural,average,TRUE,male,FALSE
35,NA,7,9,1,15,1,15,15,15,1,17,FALSE,FALSE,FALSE,FALSE,OK,town,highest,TRUE,female,FALSE
47,1,5,8,12,176,22,3,11,8,11,14,FALSE,FALSE,FALSE,FALSE,KY,town,average,TRUE,female,FALSE
NA,NA,2,4,6,74,20,2,5,3.7,11,12,FALSE,FALSE,FALSE,FALSE,IN,rural,average,TRUE,male,TRUE
79,NA,NA,NA,0,157,9,2,25,17.444444444,9,11,FALSE,FALSE,FALSE,FALSE,WA,city,average,NA,male,FALSE
86,NA,3,4,2,68,12,3,10,5.6666666667,7,15,FALSE,FALSE,FALSE,FALSE,MN,NA,NA,TRUE,male,FALSE
48,NA,1,NA,0,116,13,3,20,8.9230769231,9,21,FALSE,FALSE,FALSE,FALSE,IA,rural,average,NA,male,FALSE
90,NA,1,NA,0,92,10,3,25,9.2,8,11,FALSE,FALSE,FALSE,FALSE,CA,suburb,average,NA,female,FALSE
75,NA,2,4,41,174,11,5,77,15.818181818,10,14,FALSE,FALSE,FALSE,FALSE,GA,city,average,TRUE,male,FALSE
83,NA,4,NA,0,109,9,3,30,12.111111111,5,11,FALSE,FALSE,FALSE,FALSE,MN,rural,average,TRUE,male,FALSE
84,NA,5,6,0,35,2,10,25,17.5,2,14,FALSE,FALSE,FALSE,FALSE,CA,urban,average,TRUE,female,FALSE
34,3,5,9,2,25,2,5,20,12.5,2,13,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,NA,female,FALSE
59,NA,3,2,1,36,2,15,21,18,2,19,FALSE,FALSE,FALSE,FALSE,CA,suburb,average,TRUE,female,FALSE
NA,NA,NA,NA,0,100,5,15,25,20,2,9,TRUE,FALSE,FALSE,FALSE,NM,rural,highest,NA,male,FALSE
57,NA,5,8,10,309,17,5,50,18.176470588,7,12,FALSE,FALSE,FALSE,FALSE,CO,suburb,highest,TRUE,female,TRUE
41,1,6,5,6,110,15,3,12,7.3333333333,11,14,FALSE,FALSE,FALSE,FALSE,FL,suburb,lowest,TRUE,male,FALSE
NA,NA,4,3,0,43,6,3,11,7.1666666667,3,14,FALSE,FALSE,FALSE,FALSE,KY,rural,lowest,TRUE,female,FALSE
67,NA,6,8,20,91,6,10,19,15.166666667,8,14,FALSE,FALSE,FALSE,FALSE,GA,suburb,highest,TRUE,female,FALSE
39,4,4,7,1,79,7,4,21,11.285714286,5,11,FALSE,FALSE,FALSE,FALSE,IL,suburb,highest,TRUE,female,FALSE
60,NA,6,6,5,47,3,15,17,15.666666667,3,22,FALSE,FALSE,FALSE,FALSE,CA,town,average,TRUE,male,FALSE
36,1,6,NA,0,35,3,5,20,11.666666667,2,14,FALSE,FALSE,FALSE,FALSE,MI,urban,average,TRUE,male,FALSE
NA,NA,NA,NA,0,938,40,10,30,23.45,11,9,TRUE,FALSE,FALSE,FALSE,FL,city,highest,NA,male,FALSE
72,NA,4,1,9,77,6,10,20,12.833333333,6,15,FALSE,FALSE,FALSE,FALSE,WI,rural,average,TRUE,male,FALSE
54,NA,5,8,8,45,5,5,20,9,2,11,FALSE,FALSE,FALSE,FALSE,IL,suburb,highest,TRUE,male,FALSE
43,1,5,7,7,183,14,5,19,13.071428571,11,15,FALSE,FALSE,FALSE,FALSE,CA,city,highest,TRUE,male,FALSE
55,1,4,6,0,218,28,2,11,7.7857142857,6,19,FALSE,FALSE,FALSE,FALSE,GA,town,average,TRUE,female,TRUE
60,NA,5,5,0,52,5,5,16,10.4,9,22,FALSE,FALSE,FALSE,FALSE,CA,town,average,TRUE,male,FALSE
79,NA,2,9,1,20,1,20,20,20,1,17,FALSE,FALSE,FALSE,FALSE,WI,suburb,average,TRUE,female,FALSE
51,1,5,9,2,108,11,3,15,9.8181818182,11,12,FALSE,FALSE,FALSE,FALSE,NC,city,highest,TRUE,female,FALSE
64,1,3,NA,0,20,2,5,15,10,3,22,FALSE,FALSE,FALSE,FALSE,AR,town,average,TRUE,male,FALSE
NA,NA,NA,NA,0,15,1,15,15,15,2,17,FALSE,FALSE,FALSE,FALSE,GA,rural,average,NA,female,FALSE
NA,NA,NA,NA,0,25,1,25,25,25,2,19,FALSE,FALSE,FALSE,FALSE,LA,suburb,average,NA,male,FALSE
53,1,2,8,1,40,2,20,20,20,2,23,FALSE,FALSE,FALSE,FALSE,KY,city,lowest,TRUE,female,FALSE
75,NA,3,NA,0,83,7,5,15,11.857142857,7,14,FALSE,FALSE,FALSE,FALSE,IL,rural,average,TRUE,male,FALSE
49,1,7,8,2,85,6,10,20,14.166666667,8,17,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,male,FALSE
39,NA,NA,NA,0,308,47,3,14,6.5531914894,11,13,FALSE,FALSE,FALSE,FALSE,WA,town,average,NA,male,FALSE
43,1,4,9,2,81,7,5,15,11.571428571,7,15,FALSE,FALSE,FALSE,FALSE,TX,town,highest,TRUE,male,FALSE
72,NA,2,NA,0,31,8,2,5,3.875,3,12,FALSE,FALSE,FALSE,FALSE,CA,urban,average,TRUE,male,FALSE
48,NA,4,2,2,45,4,5,15,11.25,2,14,FALSE,FALSE,FALSE,FALSE,AL,rural,lowest,TRUE,male,FALSE
60,NA,NA,NA,0,130,4,10,50,32.5,4,14,FALSE,FALSE,FALSE,FALSE,WI,town,average,NA,male,FALSE
28,2,5,NA,0,15,1,15,15,15,2,20,FALSE,FALSE,FALSE,FALSE,KY,rural,average,TRUE,female,FALSE
55,NA,5,NA,0,172,18,3,25,9.5555555556,11,13,FALSE,FALSE,FALSE,FALSE,KY,town,average,TRUE,male,FALSE
NA,NA,2,NA,0,65,7,5,10,9.2857142857,3,14,FALSE,FALSE,FALSE,FALSE,KY,suburb,average,NA,female,FALSE
89,NA,4,NA,0,64,6,5,17,10.666666667,6,19,FALSE,FALSE,FALSE,FALSE,CO,rural,average,NA,female,FALSE
50,NA,4,6,11,126,5,15,35,25.2,11,22,FALSE,FALSE,FALSE,FALSE,CA,suburb,average,TRUE,female,FALSE
NA,NA,NA,NA,0,25,1,25,25,25,2,17,FALSE,FALSE,FALSE,FALSE,WA,city,lowest,NA,male,FALSE
NA,NA,NA,NA,0,91,8,5,20,11.375,8,21,FALSE,FALSE,FALSE,FALSE,GA,rural,average,NA,female,FALSE
42,NA,NA,NA,0,168,23,5,11,7.3043478261,6,20,FALSE,FALSE,FALSE,FALSE,NV,suburb,average,NA,male,FALSE
44,2,7,9,1,205,10,5,28,20.5,7,17,FALSE,FALSE,FALSE,FALSE,TX,suburb,highest,TRUE,male,FALSE
66,NA,5,7,9,143,9,5,25,15.888888889,9,22,FALSE,FALSE,FALSE,FALSE,UT,town,highest,TRUE,female,FALSE
87,NA,6,9,36,47,4,10,15,11.75,2,14,FALSE,FALSE,FALSE,FALSE,NE,suburb,highest,TRUE,male,FALSE
52,1,7,NA,0,15,1,15,15,15,1,12,FALSE,FALSE,FALSE,FALSE,MI,suburb,highest,TRUE,female,FALSE
80,NA,1,5,2,90,19,3,6,4.7368421053,6,12,FALSE,FALSE,FALSE,FALSE,WA,city,average,NA,female,FALSE
41,NA,1,2,3,155,18,5,12,8.6111111111,7,11,FALSE,FALSE,FALSE,FALSE,WA,town,average,NA,female,FALSE
NA,NA,2,4,17,31,4,5,10,7.75,1,12,FALSE,FALSE,FALSE,FALSE,IL,rural,average,NA,female,FALSE
NA,NA,NA,NA,0,38,3,10,15,12.666666667,2,11,TRUE,FALSE,FALSE,FALSE,TN,rural,average,NA,NA,FALSE
52,1,3,NA,0,27,4,5,11,6.75,2,14,FALSE,FALSE,FALSE,FALSE,MI,rural,average,NA,female,FALSE
91,NA,NA,NA,0,58,7,3,15,8.2857142857,11,15,FALSE,FALSE,FALSE,FALSE,TX,city,lowest,NA,female,FALSE
49,1,4,9,5,15,1,15,15,15,1,13,FALSE,FALSE,FALSE,FALSE,SC,suburb,highest,TRUE,male,FALSE
NA,NA,6,NA,0,85,12,5,10,7.0833333333,3,2,FALSE,FALSE,FALSE,TRUE,CA,urban,highest,NA,female,FALSE
73,NA,6,6,1,20,1,20,20,20,1,15,FALSE,FALSE,FALSE,FALSE,TX,city,highest,TRUE,male,FALSE
60,NA,6,8,1,127,9,5,25,14.111111111,9,19,FALSE,FALSE,FALSE,FALSE,KS,urban,highest,TRUE,male,FALSE
54,NA,6,9,11,15,1,15,15,15,2,18,FALSE,FALSE,FALSE,FALSE,GA,suburb,highest,TRUE,female,FALSE
NA,NA,NA,NA,0,86,16,3,10,5.375,3,11,FALSE,FALSE,FALSE,FALSE,KY,suburb,lowest,NA,female,FALSE
NA,NA,7,7,10,125,4,25,50,31.25,5,21,FALSE,FALSE,FALSE,FALSE,AK,city,highest,TRUE,female,FALSE
NA,NA,NA,NA,0,35,2,10,25,17.5,2,14,FALSE,FALSE,FALSE,FALSE,OR,rural,average,NA,female,FALSE
28,NA,3,6,0,30,2,10,20,15,1,11,FALSE,FALSE,FALSE,FALSE,ID,city,average,TRUE,male,FALSE
NA,NA,NA,NA,0,40,4,5,15,10,5,12,FALSE,FALSE,FALSE,FALSE,CA,urban,average,NA,male,FALSE
43,NA,7,9,6,55,2,25,30,27.5,2,22,FALSE,FALSE,FALSE,FALSE,SC,suburb,highest,TRUE,male,FALSE
NA,NA,4,5,0,126,6,10,25,21,2,1,TRUE,FALSE,FALSE,FALSE,CA,NA,NA,TRUE,female,FALSE
NA,NA,2,9,0,20,1,20,20,20,2,20,FALSE,FALSE,FALSE,FALSE,OR,suburb,highest,NA,male,FALSE
48,NA,5,NA,0,218,29,3,12,7.5172413793,11,18,FALSE,FALSE,FALSE,FALSE,WA,suburb,average,TRUE,male,FALSE
56,NA,5,6,4,65,6,5,20,10.833333333,7,13,FALSE,FALSE,FALSE,FALSE,MT,rural,average,NA,female,FALSE
43,1,4,7,15,49,7,3,15,7,6,19,FALSE,FALSE,FALSE,FALSE,AR,city,average,TRUE,female,FALSE
NA,NA,NA,NA,0,70,14,2,10,5,10,15,FALSE,FALSE,FALSE,FALSE,NC,town,highest,NA,female,FALSE
88,NA,7,8,2,135,8,5,25,16.875,8,13,FALSE,FALSE,FALSE,FALSE,GA,suburb,highest,TRUE,male,FALSE
NA,NA,NA,NA,0,30,2,10,20,15,2,18,FALSE,FALSE,FALSE,FALSE,AR,rural,lowest,NA,male,FALSE
76,NA,6,5,12,179,36,2,10,4.9722222222,11,19,FALSE,FALSE,FALSE,FALSE,WA,rural,highest,TRUE,male,FALSE
62,NA,4,7,6,76,5,10,18,15.2,4,12,FALSE,FALSE,TRUE,FALSE,NC,town,average,TRUE,female,FALSE
NA,NA,2,2,5,65,3,10,35,21.666666667,2,14,FALSE,FALSE,FALSE,FALSE,IN,town,average,TRUE,female,FALSE
74,NA,2,NA,0,35,3,10,15,11.666666667,3,13,FALSE,FALSE,FALSE,FALSE,TN,town,average,NA,female,FALSE
72,NA,4,4,36,109,18,3,10,6.0555555556,11,12,FALSE,FALSE,FALSE,FALSE,FL,urban,average,TRUE,male,FALSE
NA,1,4,NA,0,55,5,5,20,11,3,14,FALSE,FALSE,FALSE,FALSE,NM,suburb,average,TRUE,female,FALSE
37,2,5,1,0,50,3,5,25,16.666666667,3,16,FALSE,FALSE,FALSE,FALSE,MN,rural,average,TRUE,male,FALSE
NA,NA,2,0,1,391,24,5,100,16.291666667,9,17,FALSE,FALSE,FALSE,FALSE,OR,town,average,TRUE,female,FALSE
67,NA,6,9,10,86,6,5,25,14.333333333,7,22,FALSE,FALSE,FALSE,FALSE,MO,suburb,highest,TRUE,male,FALSE
62,NA,4,2,4,58,4,10,20,14.5,2,12,FALSE,FALSE,FALSE,FALSE,CA,town,average,TRUE,female,FALSE
88,NA,2,4,0,46,4,10,12,11.5,2,12,FALSE,FALSE,FALSE,FALSE,FL,city,average,TRUE,female,FALSE
54,NA,5,5,0,85,4,10,25,21.25,2,11,FALSE,FALSE,FALSE,FALSE,CA,urban,average,TRUE,male,FALSE
71,NA,6,NA,0,170,15,5,16,11.333333333,11,16,FALSE,FALSE,FALSE,FALSE,CA,city,average,TRUE,female,FALSE
76,NA,2,5,10,139,16,4,12,8.6875,8,12,FALSE,FALSE,FALSE,FALSE,IL,city,average,NA,female,FALSE
83,NA,1,6,2,22,4,2,10,5.5,3,13,FALSE,FALSE,FALSE,FALSE,IL,city,average,TRUE,female,FALSE
NA,NA,NA,NA,0,25,2,10,15,12.5,2,22,FALSE,FALSE,FALSE,FALSE,CA,city,average,NA,NA,TRUE
66,NA,1,0,1,191,28,3,15,6.8214285714,11,16,FALSE,FALSE,FALSE,FALSE,MI,rural,lowest,TRUE,female,FALSE
NA,NA,5,NA,0,25,3,5,15,8.3333333333,2,12,FALSE,FALSE,FALSE,FALSE,NC,rural,average,TRUE,female,FALSE
NA,NA,1,7,2,120,15,3,15,8,5,18,FALSE,FALSE,FALSE,FALSE,FL,suburb,average,NA,female,FALSE
49,2,1,0,1,15,1,15,15,15,1,13,FALSE,FALSE,FALSE,FALSE,AR,city,lowest,TRUE,female,FALSE
56,NA,6,6,9,59,7,5,15,8.4285714286,7,15,FALSE,FALSE,FALSE,FALSE,SC,rural,average,TRUE,male,FALSE
44,1,4,NA,0,136,19,2,12,7.1578947368,2,0,TRUE,FALSE,FALSE,TRUE,IA,town,average,TRUE,male,FALSE
50,1,4,NA,0,20,1,20,20,20,1,14,FALSE,FALSE,FALSE,FALSE,CA,urban,lowest,TRUE,female,FALSE
91,NA,1,3,0,78,10,3,11,7.8,7,12,FALSE,FALSE,FALSE,FALSE,IL,town,average,TRUE,male,FALSE
53,NA,6,9,0,55,6,5,10,9.1666666667,5,15,FALSE,FALSE,FALSE,FALSE,TX,town,highest,TRUE,male,FALSE
80,3,1,NA,0,15,1,15,15,15,1,12,FALSE,FALSE,FALSE,FALSE,CA,rural,lowest,TRUE,female,FALSE
62,NA,7,NA,0,85,6,3,30,14.166666667,6,16,FALSE,FALSE,FALSE,FALSE,UT,town,average,TRUE,male,FALSE
NA,NA,NA,NA,0,184,26,2,10,7.0769230769,8,15,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,NA,female,FALSE
45,NA,4,1,0,207,16,10,15,12.9375,11,14,FALSE,FALSE,FALSE,FALSE,FL,rural,average,TRUE,female,FALSE
NA,NA,4,5,5,80,2,40,40,40,2,20,FALSE,FALSE,FALSE,FALSE,CA,town,average,NA,female,FALSE
32,NA,1,NA,0,115,3,25,50,38.333333333,3,16,FALSE,FALSE,FALSE,FALSE,NE,rural,average,NA,male,FALSE
54,2,4,NA,0,60,3,20,20,20,2,14,FALSE,FALSE,FALSE,FALSE,NV,city,average,TRUE,male,FALSE
28,NA,4,5,3,82,8,5,19,10.25,3,15,FALSE,FALSE,FALSE,FALSE,KS,rural,average,NA,female,FALSE
64,NA,3,5,1,192,13,10,20,14.769230769,11,14,FALSE,FALSE,FALSE,FALSE,MS,city,average,TRUE,female,FALSE
NA,NA,NA,NA,0,84,9,5,15,9.3333333333,7,13,FALSE,FALSE,FALSE,FALSE,CA,town,highest,NA,male,FALSE
49,NA,NA,NA,0,105,10,5,18,10.5,7,22,FALSE,FALSE,FALSE,FALSE,GA,suburb,highest,NA,male,FALSE
NA,1,5,NA,0,84,7,5,15,12,5,11,FALSE,FALSE,FALSE,FALSE,NC,rural,average,TRUE,male,FALSE
53,NA,6,9,0,147,12,6,17,12.25,11,20,FALSE,FALSE,FALSE,FALSE,FL,suburb,highest,TRUE,NA,FALSE
46,NA,5,7,11,40,2,20,20,20,2,20,FALSE,FALSE,FALSE,FALSE,NC,town,average,TRUE,male,FALSE
NA,NA,1,NA,0,30,2,10,20,15,3,14,FALSE,FALSE,FALSE,FALSE,MO,rural,lowest,NA,female,FALSE
69,NA,2,NA,0,115,22,1,15,5.2272727273,11,14,FALSE,FALSE,FALSE,FALSE,NC,rural,highest,NA,male,FALSE
57,NA,7,9,1,60,8,2,15,7.5,6,17,FALSE,FALSE,FALSE,FALSE,CA,suburb,highest,TRUE,male,FALSE
NA,NA,1,NA,0,107,22,3,5,4.8636363636,11,13,FALSE,FALSE,FALSE,FALSE,MO,rural,lowest,NA,female,FALSE
42,NA,4,4,0,267,25,5,15,10.68,6,11,FALSE,FALSE,FALSE,FALSE,MS,city,average,TRUE,male,FALSE
75,NA,2,5,4,233,17,5,20,13.705882353,6,20,FALSE,FALSE,FALSE,FALSE,FL,suburb,average,TRUE,male,FALSE
